IDInstituicao,NomeInstituicao,SiglaInstituicao,NomeMantenedora,RedeEnsino,TipoDeCategoriaAdministrativa,TIpoOrganizacaoAcademica,Endereco,NumEndereco,BairroEndereco,ComplementoEndereco,CEP
757,FACULDADE DE BOITUVA,FIB,UNIESP S.A,Privada,5,3,Rodovia Sp 129,Km 14,Campo de Boituva,,18550000.0
758,FACULDADE DE EDUCAÇÃO SÃO FRANCISCO,FAESF,COLEGIO SAO FRANCISCO,Privada,5,3,Rua Abilio Monteiro,1736,Engenho,,65725000.0
759,FACULDADE DE MEDICINA ESTÁCIO DE JUAZEIRO DO NORTE,ESTÁCIO FMJ,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",Privada,4,3,Avenida Tenente Raimundo Rocha,S/N,Planalto,,63047045.0
760,FACULDADE DE EDUCAÇÃO FÍSICA DE FOZ DO IGUAÇU,,AEI ENSINO SUPERIOR DE IGUACU LTDA.,Privada,4,3,Avenida Paraná,3695,CENTRO,JARDIM CENTRAL,85863720.0
761,FACULDADE UNINASSAU PARNAÍBA,,SOCIEDADE DE ENSINO SUPERIOR PIAUIENSE LTDA,Privada,4,3,BR 343,"Km 7,5",Floriópolis,,64202260.0
762,CENTRO UNIVERSITÁRIO DO VALE DO RIBEIRA,UNIVR,"UNISEPE UNIAO DAS INSTITUICOES DE SERVICO, ENSINO E PESQUISA LTDA",Privada,4,2,Rua Oscar Yoshiaki Magário,185,Jardim das Palmeiras,Térreo,11900000.0
763,CENTRO UNIVERSITÁRIO SETE DE SETEMBRO,UNI7,EDUCADORA SETE DE SETEMBRO LTDA,Privada,4,2,Rua Almirante Maximiano da Fonseca,1395,Eng. Luciano Cavalcante,,60811020.0
764,UNIVERSIDADE FUMEC,FUMEC,FUNDACAO MINEIRA DE EDUCACAO E CULTURA,Privada,5,1,Rua Cobre,200,Cruzeiro,Campus I Belo Horizo,30310190.0
765,Faculdade Doctum de João Monlevade,DOCTUM,INSTITUTO ENSINAR BRASIL,Privada,5,3,Rua 16,24,VILA TANQUE,,35930408.0
766,CENTRO UNIVERSITÁRIO DO ESPÍRITO SANTO,UNESC,UNIAO DE EDUCACAO E CULTURA GILDASIO AMADO,Privada,5,2,Avenida Fioravante Rossi,2930,Martinelli,,29703858.0
767,FACULDADE ESAMC SOROCABA,ESAMC,ESCOLA SUPERIOR DE GESTAO DE NEGOCIOS LTDA,Privada,4,3,Rua Arthur Gomes,51,Centro,CAMPUS - SOROCABA -,18035490.0
768,FACULDADE DE ILHA SOLTEIRA,FAISA,UNIESP S.A,Privada,5,3,Alameda Bahia,490-C,Centro,,15385000.0
769,CENTRO UNIVERSITÁRIO UNINOVAFAPI,UNINOVAFAPI,INSTITUTO DE ENSINO SUPERIOR DO PIAUI LTDA,Privada,4,2,Rua Vitorino Orthiges Fernandes,6123,Uruguai,,64073505.0
770,FACULDADE SUL FLUMINENSE,FASF,INSTITUTO DE CULTURA TECNICA SOCIEDADE CIVIL LTDA,Privada,4,3,Rua Alberto Rodrigues,39,Jardim Amália I,,27251220.0
771,FACULDADE UNIME DE CIÊNCIAS JURÍDICAS,FCJ,UNIME - UNIAO METROPOLITANA PARA O DESENVOLVIMENTO DA EDUCACAO E CULTURA LTDA.,Privada,4,3,Avenida Avenida Luiz Tarquínio Pontes,600,Centro,,42702420.0
